id,email,department,position
1224,1224@hightech.com,研发小组1-8,组长
1281,1281@hightech.com,研发小组1-8,普通员工
1275,1275@hightech.com,研发小组1-8,普通员工
1406,1406@hightech.com,研发小组1-8,普通员工
1323,1323@hightech.com,研发小组1-8,普通员工
1102,1102@hightech.com,研发小组1-8,普通员工
1299,1299@hightech.com,研发小组1-8,普通员工
1134,1134@hightech.com,研发小组1-8,普通员工
1326,1326@hightech.com,研发小组1-8,普通员工
1106,1106@hightech.com,研发小组1-8,普通员工
1416,1416@hightech.com,研发小组1-8,普通员工
1205,1205@hightech.com,研发小组1-8,普通员工
1195,1195@hightech.com,研发小组1-8,普通员工
1221,1221@hightech.com,研发小组1-8,普通员工
1495,1495@hightech.com,研发小组1-8,普通员工
1393,1393@hightech.com,研发小组1-8,普通员工
1429,1429@hightech.com,研发小组1-8,普通员工
1351,1351@hightech.com,研发小组1-8,普通员工
1417,1417@hightech.com,研发小组1-8,普通员工
1473,1473@hightech.com,人力资源,普通员工
1499,1499@hightech.com,人力资源,普通员工
1433,1433@hightech.com,人力资源,普通员工
1378,1378@hightech.com,人力资源,普通员工
1371,1371@hightech.com,人力资源,普通员工
1363,1363@hightech.com,人力资源,普通员工
1312,1312@hightech.com,人力资源,普通员工
1300,1300@hightech.com,人力资源,普通员工
1295,1295@hightech.com,人力资源,普通员工
1251,1251@hightech.com,人力资源,普通员工
1249,1249@hightech.com,人力资源,普通员工
1184,1184@hightech.com,人力资源,普通员工
1165,1165@hightech.com,人力资源,普通员工
1149,1149@hightech.com,人力资源,普通员工
1118,1118@hightech.com,人力资源,普通员工
1110,1110@hightech.com,人力资源,普通员工
1104,1104@hightech.com,人力资源,普通员工
1467,1467@hightech.com,财务,普通员工
1498,1498@hightech.com,财务,普通员工
1451,1451@hightech.com,财务,普通员工
1431,1431@hightech.com,财务,普通员工
1370,1370@hightech.com,财务,普通员工
1369,1369@hightech.com,财务,普通员工
1368,1368@hightech.com,财务,普通员工
1347,1347@hightech.com,财务,普通员工
1346,1346@hightech.com,财务,普通员工
1342,1342@hightech.com,财务,普通员工
1327,1327@hightech.com,财务,普通员工
1293,1293@hightech.com,财务,普通员工
1255,1255@hightech.com,财务,普通员工
1253,1253@hightech.com,财务,普通员工
1248,1248@hightech.com,财务,普通员工
1226,1226@hightech.com,财务,普通员工
1213,1213@hightech.com,财务,普通员工
1186,1186@hightech.com,财务,普通员工
1180,1180@hightech.com,财务,普通员工
1137,1137@hightech.com,财务,普通员工
1124,1124@hightech.com,财务,普通员工
1108,1108@hightech.com,财务,普通员工
1439,1439@hightech.com,财务,普通员工
